stream_category,key,mean_danceability,sum_energy
high,A,0.58,5.26
high,A#,0.6375,4.92
high,B,0.665,9.15
high,C#,0.6381818181818182,14.94
high,D,0.6685714285714286,9.34
high,D#,0.5425,5.04
high,E,0.6238461538461538,6.65
high,F,0.6515384615384615,7.87
high,F#,0.636,7.5
high,G,0.6764285714285715,9.24
high,G#,0.6741666666666667,6.7700000000000005
high,Unknown,0.5947058823529412,11.040000000000001
low,A,0.6612280701754386,33.53
low,A#,0.6932352941176471,21.36
low,B,0.70125,38.26
low,C#,0.7072727272727273,51.76
low,D,0.6698113207547169,32.9
low,D#,0.6643478260869565,14.1
low,E,0.6692105263157895,24.72
low,F,0.6823728813559322,39.08
low,F#,0.6904255319148936,30.56
low,G,0.680281690140845,44.93
low,G#,0.6563492063492063,41.7
low,Unknown,0.6553030303030303,41.72
medium,A,0.564,6.37
medium,A#,0.7026666666666667,9.51
medium,B,0.7009090909090909,7.67
medium,C#,0.6604761904761904,13.16
medium,D,0.7185714285714285,9.22
medium,D#,0.8400000000000001,1.6
medium,E,0.6163636363636363,7.14
medium,F,0.6464705882352941,10.35
medium,F#,0.6875,10.65
medium,G,0.6345454545454545,7
medium,G#,0.6849999999999999,9.83
medium,Unknown,0.65,7.74
